"test_id","priority","module","wave","attempt","result","defect_id","owner","executed_at","evidence_path","notes"
"FW-COUNT-005","P2","COUNT","C","1","NOT_RUN","","TBD","","",""
"FW-COUNT-006","P1","COUNT","B","1","NOT_RUN","","TBD","","",""
"FW-COUNT-007","P1","COUNT","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-001","P1","SAF","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-002","P1","SAF","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-003","P1","SAF","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-004","P1","SAF","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-005","P1","SAF","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-006","P1","SAF","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-007","P1","SAF","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-008","P1","SAF","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-009","P1","SAF","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-010","P1","SAF","B","1","NOT_RUN","","TBD","","",""
"FW-SAF-011","P2","SAF","C","1","NOT_RUN","","TBD","","",""
"FW-SAF-012","P2","SAF","C","1","NOT_RUN","","TBD","","",""
"FW-SAF-013","P2","SAF","C","1","NOT_RUN","","TBD","","",""
"FW-SAF-014","P2","SAF","C","1","NOT_RUN","","TBD","","",""
"FW-SAF-015","P2","SAF","C","1","NOT_RUN","","TBD","","",""
"FW-SN-001","P2","SN","C","1","NOT_RUN","","TBD","","",""
"FW-SN-002","P2","SN","C","1","NOT_RUN","","TBD","","",""
"FW-SN-003","P2","SN","C","1","NOT_RUN","","TBD","","",""
"FW-SN-004","P2","SN","C","1","NOT_RUN","","TBD","","",""
"FW-SN-005","P2","SN","C","1","NOT_RUN","","TBD","","",""
"FW-SN-006","P2","SN","C","1","NOT_RUN","","TBD","","",""
"FW-SN-007","P2","SN","C","1","NOT_RUN","","TBD","","",""
"FW-SN-008","P2","SN","C","1","NOT_RUN","","TBD","","",""
"FW-RS-001","P1","RS","B","1","NOT_RUN","","TBD","","",""
"FW-RS-002","P1","RS","B","1","NOT_RUN","","TBD","","",""
"FW-RS-003","P1","RS","B","1","NOT_RUN","","TBD","","",""
"FW-RS-004","P1","RS","B","1","NOT_RUN","","TBD","","",""
"FW-RS-005","P2","RS","C","1","NOT_RUN","","TBD","","",""
"FW-RS-006","P2","RS","C","1","NOT_RUN","","TBD","","",""
"FW-RS-007","P2","RS","C","1","PASS","","Copilot","2026-04-01T00:18:30Z","docs/audit/qa/2026-04-01/day-0/WAVE_A_EXECUTION_REPORT.md","Code review verified Serial2.flush before DE/RE LOW in esp32 rs485_comm.cpp."
"FW-RS-008","P2","RS","C","1","PASS","","Copilot","2026-04-01T00:18:30Z","docs/audit/qa/2026-04-01/day-0/WAVE_A_EXECUTION_REPORT.md","Code review verified turnaround guards: ESP32=80us, NodeMCU=60us constants and usage."
"FW-RS-009","P2","RS","C","1","NOT_RUN","","TBD","","",""
"FW-FB-001","P2","FB","C","1","NOT_RUN","","TBD","","",""
"FW-FB-002","P1","FB","B","1","NOT_RUN","","TBD","","",""
"FW-FB-003","P2","FB","C","1","NOT_RUN","","TBD","","",""
"FW-FB-004","P2","FB","C","1","NOT_RUN","","TBD","","",""
"FW-FB-005","P2","FB","C","1","NOT_RUN","","TBD","","",""
"FW-FB-006","P2","FB","C","1","NOT_RUN","","TBD","","",""
"FW-LOG-001","P3","LOG","D","1","NOT_RUN","","TBD","","",""
"FW-LOG-002","P3","LOG","D","1","NOT_RUN","","TBD","","",""
"FW-LOG-003","P3","LOG","D","1","NOT_RUN","","TBD","","",""
"FW-LOG-004","P3","LOG","D","1","NOT_RUN","","TBD","","",""
"FW-LOG-005","P3","LOG","D","1","PASS","","Copilot","2026-04-01T00:20:33Z","docs/audit/qa/2026-04-01/day-0/WAVE_A_EXECUTION_REPORT.md","Clean nodemcuv2_debug_usb rebuild emitted required DEBUG_USB_MODE=1 #warning."
"FW-FI-001","P1","FI","B","1","NOT_RUN","","TBD","","",""
"FW-FI-002","P1","FI","B","1","NOT_RUN","","TBD","","",""
"FW-FI-003","P2","FI","C","1","NOT_RUN","","TBD","","",""
"FW-FI-004","P2","FI","C","1","NOT_RUN","","TBD","","",""
"FW-FI-005","P2","FI","C","1","NOT_RUN","","TBD","","",""
"FW-FI-006","P2","FI","C","1","NOT_RUN","","TBD","","",""
"FW-FI-007","P2","FI","C","1","NOT_RUN","","TBD","","",""
"FW-FI-008","P2","FI","C","1","NOT_RUN","","TBD","","",""
"FW-FI-009","P1","FI","B","1","NOT_RUN","","TBD","","",""
"FW-BVA-001","P2","BVA","C","1","NOT_RUN","","TBD","","",""
"FW-BVA-002","P2","BVA","C","1","NOT_RUN","","TBD","","",""
"FW-BVA-003","P2","BVA","C","1","NOT_RUN","","TBD","","",""
"FW-BVA-004","P2","BVA","C","1","NOT_RUN","","TBD","","",""
"FW-BVA-005","P2","BVA","C","1","NOT_RUN","","TBD","","",""
"FW-BVA-006","P2","BVA","C","1","NOT_RUN","","TBD","","",""
"FW-LD-001","P2","LD","C","1","NOT_RUN","","TBD","","",""
"FW-LD-002","P2","LD","C","1","NOT_RUN","","TBD","","",""
"FW-LD-003","P2","LD","C","1","NOT_RUN","","TBD","","",""
"FW-LD-004","P2","LD","C","1","NOT_RUN","","TBD","","",""
"FW-LD-005","P3","LD","D","1","NOT_RUN","","TBD","","",""
